"L1","R1","L2","R2","result"
"0","0","0","0",""
"0","0","0","1",""
"0","0","0","2",""
"0","0","0","3",""
"0","0","0","4",""
"0","0","1","0",""
"0","0","1","1",""
"0","0","1","2",""
"0","0","1","3",""
"0","0","1","4",""
"0","0","2","0",""
"0","0","2","1",""
"0","0","2","2",""
"0","0","2","3",""
"0","0","2","4",""
"0","0","3","0",""
"0","0","3","1",""
"0","0","3","2",""
"0","0","3","3",""
"0","0","3","4",""
"0","0","4","0",""
"0","0","4","1",""
"0","0","4","2",""
"0","0","4","3",""
"0","0","4","4",""
"0","1","0","0",""
"0","1","0","1","RR"
"0","1","0","2","RR"
"0","1","0","3","RR"
"0","1","0","4","RR"
"0","1","1","0","RL"
"0","1","1","1","RL"
"0","1","1","2","RL"
"0","1","1","3",""
"0","1","1","4","RR"
"0","1","2","0","RL"
"0","1","2","1","RL"
"0","1","2","2","RR"
"0","1","2","3","RL"
"0","1","2","4","RL"
"0","1","3","0","RL"
"0","1","3","1","RR"
"0","1","3","2","RL"
"0","1","3","3","RR"
"0","1","3","4","RR"
"0","1","4","0","RL"
"0","1","4","1","RL"
"0","1","4","2","RL"
"0","1","4","3","RL"
"0","1","4","4","RR"
"0","2","0","0",""
"0","2","0","1","S"
"0","2","0","2","S"
"0","2","0","3","S"
"0","2","0","4","RR"
"0","2","1","0","S"
"0","2","1","1","S"
"0","2","1","2","RL"
"0","2","1","3","S"
"0","2","1","4","S"
"0","2","2","0","S"
"0","2","2","1","S"
"0","2","2","2","S"
"0","2","2","3","RR"
"0","2","2","4","S"
"0","2","3","0","S"
"0","2","3","1","S"
"0","2","3","2","RL"
"0","2","3","3","S"
"0","2","3","4","S"
"0","2","4","0","RL"
"0","2","4","1","S"
"0","2","4","2","S"
"0","2","4","3","S"
"0","2","4","4","S"
"0","3","0","0",""
"0","3","0","1",""
"0","3","0","2","RR"
"0","3","0","3","RR"
"0","3","0","4","RR"
"0","3","1","0",""
"0","3","1","1","RL"
"0","3","1","2","RR"
"0","3","1","3","RR"
"0","3","1","4","RR"
"0","3","2","0","RL"
"0","3","2","1","RL"
"0","3","2","2","RR"
"0","3","2","3","RR"
"0","3","2","4","RR"
"0","3","3","0","RL"
"0","3","3","1","RL"
"0","3","3","2",""
"0","3","3","3",""
"0","3","3","4","RL"
"0","3","4","0","RL"
"0","3","4","1","RL"
"0","3","4","2","RL"
"0","3","4","3","RR"
"0","3","4","4",""
"0","4","0","0",""
"0","4","0","1","RR"
"0","4","0","2","S"
"0","4","0","3","S"
"0","4","0","4","RR"
"0","4","1","0","S"
"0","4","1","1","S"
"0","4","1","2",""
"0","4","1","3",""
"0","4","1","4","S"
"0","4","2","0","S"
"0","4","2","1",""
"0","4","2","2","S"
"0","4","2","3","S"
"0","4","2","4","S"
"0","4","3","0","S"
"0","4","3","1","S"
"0","4","3","2","RL"
"0","4","3","3","S"
"0","4","3","4","S"
"0","4","4","0","S"
"0","4","4","1","S"
"0","4","4","2","S"
"0","4","4","3","S"
"0","4","4","4","RR"
"1","0","0","0",""
"1","0","0","1","LR"
"1","0","0","2","LR"
"1","0","0","3","LR"
"1","0","0","4","LR"
"1","0","1","0","LL"
"1","0","1","1","LR"
"1","0","1","2","LR"
"1","0","1","3","LL"
"1","0","1","4","LR"
"1","0","2","0","LL"
"1","0","2","1","LL"
"1","0","2","2","LR"
"1","0","2","3","LR"
"1","0","2","4","LR"
"1","0","3","0","LL"
"1","0","3","1","LR"
"1","0","3","2","LR"
"1","0","3","3","LR"
"1","0","3","4","LR"
"1","0","4","0","LL"
"1","0","4","1","LL"
"1","0","4","2","LL"
"1","0","4","3","LL"
"1","0","4","4","LL"
"1","1","0","0",""
"1","1","0","1",""
"1","1","0","2",""
"1","1","0","3",""
"1","1","0","4",""
"1","1","1","0",""
"1","1","1","1","LR"
"1","1","1","2",""
"1","1","1","3",""
"1","1","1","4",""
"1","1","2","0",""
"1","1","2","1",""
"1","1","2","2","LL"
"1","1","2","3",""
"1","1","2","4",""
"1","1","3","0",""
"1","1","3","1",""
"1","1","3","2",""
"1","1","3","3","LR"
"1","1","3","4",""
"1","1","4","0",""
"1","1","4","1",""
"1","1","4","2",""
"1","1","4","3",""
"1","1","4","4",""
"1","2","0","0",""
"1","2","0","1","LR"
"1","2","0","2",""
"1","2","0","3",""
"1","2","0","4",""
"1","2","1","0","LL"
"1","2","1","1","LR"
"1","2","1","2","LL"
"1","2","1","3","LL"
"1","2","1","4","LR"
"1","2","2","0",""
"1","2","2","1","LR"
"1","2","2","2","RL"
"1","2","2","3",""
"1","2","2","4",""
"1","2","3","0",""
"1","2","3","1","LL"
"1","2","3","2",""
"1","2","3","3","RR"
"1","2","3","4",""
"1","2","4","0",""
"1","2","4","1","RR"
"1","2","4","2",""
"1","2","4","3",""
"1","2","4","4",""
"1","3","0","0",""
"1","3","0","1","S"
"1","3","0","2","RR"
"1","3","0","3",""
"1","3","0","4",""
"1","3","1","0","S"
"1","3","1","1","S"
"1","3","1","2","RR"
"1","3","1","3","RL"
"1","3","1","4",""
"1","3","2","0","S"
"1","3","2","1","RL"
"1","3","2","2","RR"
"1","3","2","3","RL"
"1","3","2","4","S"
"1","3","3","0",""
"1","3","3","1","RL"
"1","3","3","2","LR"
"1","3","3","3","LL"
"1","3","3","4",""
"1","3","4","0",""
"1","3","4","1","LL"
"1","3","4","2","S"
"1","3","4","3",""
"1","3","4","4",""
"1","4","0","0",""
"1","4","0","1","RR"
"1","4","0","2","LR"
"1","4","0","3","RR"
"1","4","0","4",""
"1","4","1","0","RL"
"1","4","1","1","RL"
"1","4","1","2","RL"
"1","4","1","3","RR"
"1","4","1","4","RL"
"1","4","2","0","RL"
"1","4","2","1","RR"
"1","4","2","2","RR"
"1","4","2","3","RL"
"1","4","2","4","RR"
"1","4","3","0","LL"
"1","4","3","1","RL"
"1","4","3","2","LR"
"1","4","3","3","LR"
"1","4","3","4","RL"
"1","4","4","0",""
"1","4","4","1","LR"
"1","4","4","2","RR"
"1","4","4","3","RR"
"1","4","4","4",""
"2","0","0","0",""
"2","0","0","1","S"
"2","0","0","2","S"
"2","0","0","3","S"
"2","0","0","4","LR"
"2","0","1","0","S"
"2","0","1","1","S"
"2","0","1","2","S"
"2","0","1","3","S"
"2","0","1","4","S"
"2","0","2","0","S"
"2","0","2","1","S"
"2","0","2","2","S"
"2","0","2","3","LR"
"2","0","2","4","S"
"2","0","3","0","S"
"2","0","3","1","S"
"2","0","3","2","LL"
"2","0","3","3","S"
"2","0","3","4","S"
"2","0","4","0","LL"
"2","0","4","1","S"
"2","0","4","2","LL"
"2","0","4","3","LR"
"2","0","4","4","LR"
"2","1","0","0",""
"2","1","0","1","RR"
"2","1","0","2",""
"2","1","0","3",""
"2","1","0","4",""
"2","1","1","0","RL"
"2","1","1","1","RL"
"2","1","1","2","RL"
"2","1","1","3","LL"
"2","1","1","4","LL"
"2","1","2","0",""
"2","1","2","1","RR"
"2","1","2","2","LR"
"2","1","2","3",""
"2","1","2","4",""
"2","1","3","0",""
"2","1","3","1","LL"
"2","1","3","2",""
"2","1","3","3","RR"
"2","1","3","4",""
"2","1","4","0",""
"2","1","4","1","RL"
"2","1","4","2",""
"2","1","4","3",""
"2","1","4","4",""
"2","2","0","0",""
"2","2","0","1","RR"
"2","2","0","2",""
"2","2","0","3",""
"2","2","0","4",""
"2","2","1","0","RL"
"2","2","1","1","RR"
"2","2","1","2","RL"
"2","2","1","3","RR"
"2","2","1","4","LR"
"2","2","2","0",""
"2","2","2","1","LR"
"2","2","2","2","LL"
"2","2","2","3",""
"2","2","2","4",""
"2","2","3","0",""
"2","2","3","1","LL"
"2","2","3","2",""
"2","2","3","3","RL"
"2","2","3","4",""
"2","2","4","0",""
"2","2","4","1","RL"
"2","2","4","2",""
"2","2","4","3",""
"2","2","4","4",""
"2","3","0","0",""
"2","3","0","1","LR"
"2","3","0","2","LR"
"2","3","0","3",""
"2","3","0","4",""
"2","3","1","0","LL"
"2","3","1","1","RL"
"2","3","1","2","RR"
"2","3","1","3","LR"
"2","3","1","4","RR"
"2","3","2","0","LL"
"2","3","2","1","RL"
"2","3","2","2","RR"
"2","3","2","3","RR"
"2","3","2","4","RR"
"2","3","3","0",""
"2","3","3","1","RR"
"2","3","3","2","RR"
"2","3","3","3","LR"
"2","3","3","4",""
"2","3","4","0",""
"2","3","4","1","RL"
"2","3","4","2","RL"
"2","3","4","3",""
"2","3","4","4",""
"2","4","0","0",""
"2","4","0","1","RR"
"2","4","0","2","S"
"2","4","0","3","LR"
"2","4","0","4",""
"2","4","1","0","RL"
"2","4","1","1","S"
"2","4","1","2","RR"
"2","4","1","3","S"
"2","4","1","4",""
"2","4","2","0","LL"
"2","4","2","1","RR"
"2","4","2","2","LL"
"2","4","2","3","RL"
"2","4","2","4","RL"
"2","4","3","0","S"
"2","4","3","1","RR"
"2","4","3","2","RL"
"2","4","3","3","LL"
"2","4","3","4","RR"
"2","4","4","0",""
"2","4","4","1","RL"
"2","4","4","2","RL"
"2","4","4","3","RR"
"2","4","4","4",""
"3","0","0","0",""
"3","0","0","1","LR"
"3","0","0","2","LR"
"3","0","0","3","LR"
"3","0","0","4","LR"
"3","0","1","0","LL"
"3","0","1","1","LR"
"3","0","1","2","LR"
"3","0","1","3","LR"
"3","0","1","4","LR"
"3","0","2","0","LL"
"3","0","2","1","LL"
"3","0","2","2","LL"
"3","0","2","3","LR"
"3","0","2","4","LL"
"3","0","3","0","LL"
"3","0","3","1","LL"
"3","0","3","2",""
"3","0","3","3",""
"3","0","3","4",""
"3","0","4","0","LL"
"3","0","4","1","LL"
"3","0","4","2","LL"
"3","0","4","3","LR"
"3","0","4","4","LL"
"3","1","0","0",""
"3","1","0","1","S"
"3","1","0","2","S"
"3","1","0","3",""
"3","1","0","4",""
"3","1","1","0","S"
"3","1","1","1","S"
"3","1","1","2","LR"
"3","1","1","3","RR"
"3","1","1","4","RL"
"3","1","2","0","RL"
"3","1","2","1","LL"
"3","1","2","2","RR"
"3","1","2","3","LL"
"3","1","2","4","S"
"3","1","3","0",""
"3","1","3","1","RL"
"3","1","3","2","LR"
"3","1","3","3","LL"
"3","1","3","4",""
"3","1","4","0",""
"3","1","4","1","LL"
"3","1","4","2","S"
"3","1","4","3",""
"3","1","4","4",""
"3","2","0","0",""
"3","2","0","1","LR"
"3","2","0","2","RR"
"3","2","0","3",""
"3","2","0","4",""
"3","2","1","0","LL"
"3","2","1","1","LR"
"3","2","1","2","LR"
"3","2","1","3","LR"
"3","2","1","4","LR"
"3","2","2","0","RL"
"3","2","2","1","LL"
"3","2","2","2","LL"
"3","2","2","3","LL"
"3","2","2","4",""
"3","2","3","0",""
"3","2","3","1","LL"
"3","2","3","2","LL"
"3","2","3","3","LR"
"3","2","3","4",""
"3","2","4","0",""
"3","2","4","1","RL"
"3","2","4","2","LR"
"3","2","4","3",""
"3","2","4","4",""
"3","3","0","0",""
"3","3","0","1","LR"
"3","3","0","2","RR"
"3","3","0","3",""
"3","3","0","4",""
"3","3","1","0","LL"
"3","3","1","1","LR"
"3","3","1","2","LR"
"3","3","1","3","RR"
"3","3","1","4","RR"
"3","3","2","0","RL"
"3","3","2","1","RL"
"3","3","2","2","LR"
"3","3","2","3","RR"
"3","3","2","4","LR"
"3","3","3","0",""
"3","3","3","1",""
"3","3","3","2","RR"
"3","3","3","3","LR"
"3","3","3","4",""
"3","3","4","0",""
"3","3","4","1","RL"
"3","3","4","2","RL"
"3","3","4","3",""
"3","3","4","4",""
"3","4","0","0",""
"3","4","0","1","LR"
"3","4","0","2","RR"
"3","4","0","3","RR"
"3","4","0","4",""
"3","4","1","0","LL"
"3","4","1","1","RL"
"3","4","1","2","RL"
"3","4","1","3","RR"
"3","4","1","4","RL"
"3","4","2","0","RL"
"3","4","2","1","LR"
"3","4","2","2","LL"
"3","4","2","3","LL"
"3","4","2","4","LR"
"3","4","3","0","LL"
"3","4","3","1","LL"
"3","4","3","2","RR"
"3","4","3","3","LL"
"3","4","3","4","LR"
"3","4","4","0",""
"3","4","4","1","RR"
"3","4","4","2","RR"
"3","4","4","3","LL"
"3","4","4","4",""
"4","0","0","0",""
"4","0","0","1","LR"
"4","0","0","2","LR"
"4","0","0","3","S"
"4","0","0","4","S"
"4","0","1","0","S"
"4","0","1","1","S"
"4","0","1","2",""
"4","0","1","3","S"
"4","0","1","4","S"
"4","0","2","0","S"
"4","0","2","1",""
"4","0","2","2","S"
"4","0","2","3","S"
"4","0","2","4","S"
"4","0","3","0","S"
"4","0","3","1","S"
"4","0","3","2","S"
"4","0","3","3","S"
"4","0","3","4","LL"
"4","0","4","0","S"
"4","0","4","1","S"
"4","0","4","2","S"
"4","0","4","3","LR"
"4","0","4","4","LL"
"4","1","0","0",""
"4","1","0","1","LR"
"4","1","0","2","LR"
"4","1","0","3","LR"
"4","1","0","4",""
"4","1","1","0","RL"
"4","1","1","1","LR"
"4","1","1","2","RL"
"4","1","1","3","LR"
"4","1","1","4","LR"
"4","1","2","0","LL"
"4","1","2","1","LR"
"4","1","2","2","LR"
"4","1","2","3","RR"
"4","1","2","4","RL"
"4","1","3","0","LL"
"4","1","3","1","LL"
"4","1","3","2","LL"
"4","1","3","3","LL"
"4","1","3","4","LL"
"4","1","4","0",""
"4","1","4","1","LR"
"4","1","4","2","LR"
"4","1","4","3","LR"
"4","1","4","4",""
"4","2","0","0",""
"4","2","0","1","LR"
"4","2","0","2","S"
"4","2","0","3",""
"4","2","0","4",""
"4","2","1","0","LL"
"4","2","1","1","S"
"4","2","1","2","RL"
"4","2","1","3","S"
"4","2","1","4","LL"
"4","2","2","0","S"
"4","2","2","1","LR"
"4","2","2","2","LR"
"4","2","2","3","LL"
"4","2","2","4","LL"
"4","2","3","0","RL"
"4","2","3","1","S"
"4","2","3","2","LR"
"4","2","3","3","LR"
"4","2","3","4",""
"4","2","4","0",""
"4","2","4","1","RL"
"4","2","4","2","S"
"4","2","4","3","RL"
"4","2","4","4",""
"4","3","0","0",""
"4","3","0","1","LR"
"4","3","0","2","RR"
"4","3","0","3","RR"
"4","3","0","4",""
"4","3","1","0","RL"
"4","3","1","1","RL"
"4","3","1","2","LL"
"4","3","1","3","LL"
"4","3","1","4","LL"
"4","3","2","0","LL"
"4","3","2","1","LR"
"4","3","2","2","RR"
"4","3","2","3","RR"
"4","3","2","4","RL"
"4","3","3","0",""
"4","3","3","1","LR"
"4","3","3","2","LR"
"4","3","3","3","RR"
"4","3","3","4","RR"
"4","3","4","0",""
"4","3","4","1","RR"
"4","3","4","2",""
"4","3","4","3","RL"
"4","3","4","4",""
"4","4","0","0",""
"4","4","0","1","LR"
"4","4","0","2","RR"
"4","4","0","3","LR"
"4","4","0","4",""
"4","4","1","0","LL"
"4","4","1","1","LR"
"4","4","1","2",""
"4","4","1","3","RR"
"4","4","1","4","RR"
"4","4","2","0","RL"
"4","4","2","1",""
"4","4","2","2","LL"
"4","4","2","3","RL"
"4","4","2","4",""
"4","4","3","0","LL"
"4","4","3","1","RL"
"4","4","3","2","RL"
"4","4","3","3","LR"
"4","4","3","4","RR"
"4","4","4","0",""
"4","4","4","1","RL"
"4","4","4","2","LR"
"4","4","4","3","RL"
"4","4","4","4",""
